date,day,holiday,category
2025-01-01,['Wednesday'],New Year's Day,(R)
2025-01-06,['Monday'],Guru Gobind Singh's Birthday,(R)
2025-01-14,['Tuesday'],Makar Sankranti/ Magha Bihu/ Pongal/ Hazarat Ali's Birthday,(R)
2025-01-26,['Sunday'],Republic Day,(G)
2025-02-02,['Sunday'],Basant Panchami / Sri Panchami,(R)
2025-02-12,['Wednesday'],Guru Ravidas's Birthday,(R)
2025-02-19,['Wednesday'],Shivaji Jayanti,(R)
2025-02-23,['Sunday'],Swami Dayananda Saraswati Jayanti,(R)
2025-02-26,['Wednesday'],Maha Shivaratri,(G)
2025-03-13,['Thursday'],Holika Dahan,(R)
2025-03-14,['Friday'],Holi,(G)
2025-03-14,['Friday'], Dolyatra,(R)
2025-03-28,['Friday'],Jamat-Ul-Vida,(R)
2025-03-30,['Sunday'],Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand,(R)
2025-03-31,['Monday'],Id-ul-Fitr,(G)
2025-04-06,['Sunday'],Ram Navami,(R)
2025-04-10,['Thursday'],Mahavir Jayanti,(G)
2025-04-13,['Sunday'],Vaisakhi/ Vishu,(R)
2025-04-14,['Monday'],Meshadi (Tamil New Year's Day),(R)
2025-04-14,['Monday'], Birthday of Dr. B. R. Ambedkar,(G)
2025-04-15,['Tuesday'],Vaisakhadi (Bengal)/ Bahag Bihu (Assam),(R)
2025-04-18,['Friday'],Good Friday,(G)
2025-04-20,['Sunday'],Easter Sunday,(R)
2025-05-09,['Friday'],Guru Rabindranath's Birthday,(R)
2025-05-12,['Monday'],Buddha Purnima,(G)
2025-06-07,['Saturday'],Id-ul-Zuha (Bakrid),(G)
2025-06-27,['Friday'],Rath Yatra,(R)
2025-07-06,['Sunday'],Muharram,(G)
2025-08-09,['Saturday'],Raksha Bandhan,(R)
2025-08-15,['Friday'],Independence day,(G)
2025-08-15,['Friday'], Parsi New Year's day/ Nauraj,(R)
2025-08-15,['Friday'], Janmashtami (Smarta),(R)
2025-08-16,['Saturday'],Janmashtami,(G)
2025-08-27,['Wednesday'],Ganesh Chaturthi / Vinayaka Chaturthi,(R)
2025-09-05,['Friday'],Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),(G)
2025-09-05,['Friday'], Onam or Thiru Onam Day,(R)
2025-09-29,['Monday'],Dussehra (Maha Saptami),(R)
2025-09-30,['Tuesday'],Dussehra (Maha Ashtami),(R)
2025-10-01,['Wednesday'],Dussehra (Maha Navmi),(R)
2025-10-02,['Thursday'],Mahatma Gandhi's Birthday,(G)
2025-10-02,['Thursday'], Dussehra,(G)
2025-10-07,['Tuesday'],Maharishi Valmiki's Birthday,(R)
2025-10-10,['Friday'],Karaka Chaturthi (Karva Chouth),(R)
2025-10-20,['Monday'],Diwali (Deepawali),(G)
2025-10-20,['Monday'], Naraka Chaturdasi,(R)
2025-10-22,['Wednesday'],Govardhan Puja,(R)
2025-10-23,['Thursday'],Bhai Duj,(R)
2025-10-28,['Tuesday'],Pratihar Sashthi or Surya Sashthi (Chhat Puja),(R)
2025-11-05,['Wednesday'],Guru Nanak's Birthday,(G)
2025-11-24,['Monday'],Guru Teg Bahadur's Martyrdom Day,(R)
2025-12-24,['Wednesday'],Christmas Eve,(R)
2025-12-25,['Thursday'],Christmas Day,(G)
